"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test sends a message to the chat and validates that a response is displayed.","3146","Send Message and Verify Response","tests","Thu Sep 11 07:17:31 UTC 2025","passed","Thu Sep 11 07:17:34 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","4233","Change User Name","tests","Thu Sep 11 07:17:24 UTC 2025","passed","Thu Sep 11 07:17:28 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","12538","Change User Name","tests","Thu Sep 11 07:17:14 UTC 2025","passed","Thu Sep 11 07:17:26 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","11508","Change User Name","tests","Thu Sep 11 07:17:06 UTC 2025","passed","Thu Sep 11 07:17:17 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","1482","Send Message and Verify Response","tests","Thu Sep 11 07:17:18 UTC 2025","passed","Thu Sep 11 07:17:20 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","5056","Change User Name","tests","Thu Sep 11 07:17:11 UTC 2025","passed","Thu Sep 11 07:17:16 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","2712","Verify Ollama UI Page Title","tests","Thu Sep 11 07:17:23 UTC 2025","passed","Thu Sep 11 07:17:26 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","3801","Change User Name","tests","Thu Sep 11 07:17:19 UTC 2025","passed","Thu Sep 11 07:17:23 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","1747","Send Message and Verify Response","tests","Thu Sep 11 07:17:19 UTC 2025","passed","Thu Sep 11 07:17:21 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","1537","Verify Ollama UI Page Title","tests","Thu Sep 11 07:17:26 UTC 2025","passed","Thu Sep 11 07:17:28 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","3534","Send Message and Verify Response","tests","Thu Sep 11 07:17:19 UTC 2025","passed","Thu Sep 11 07:17:22 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","1078","Verify Ollama UI Page Title","tests","Thu Sep 11 07:17:17 UTC 2025","passed","Thu Sep 11 07:17:18 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","1871","Send Message and Verify Response","tests","Thu Sep 11 07:17:28 UTC 2025","passed","Thu Sep 11 07:17:30 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","7941","Change User Name","tests","Thu Sep 11 07:17:10 UTC 2025","passed","Thu Sep 11 07:17:18 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","1157","Verify Ollama UI Page Title","tests","Thu Sep 11 07:17:18 UTC 2025","passed","Thu Sep 11 07:17:19 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","2759","Verify Ollama UI Page Title","tests","Thu Sep 11 07:17:28 UTC 2025","passed","Thu Sep 11 07:17:31 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","3133","Verify Ollama UI Page Title","tests","Thu Sep 11 07:17:16 UTC 2025","passed","Thu Sep 11 07:17:19 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","3088","Send Message and Verify Response","tests","Thu Sep 11 07:17:26 UTC 2025","passed","Thu Sep 11 07:17:29 UTC 2025","ExampleTestCase","test_example","",""
