"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test changes the user name and verifies the update is reflected.","9476","Change User Name","tests","Sun Sep 07 10:57:19 UTC 2025","passed","Sun Sep 07 10:57:29 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","3121","Verify Ollama UI Page Title","tests","Sun Sep 07 10:57:23 UTC 2025","passed","Sun Sep 07 10:57:26 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","3616","Change User Name","tests","Sun Sep 07 10:57:26 UTC 2025","passed","Sun Sep 07 10:57:30 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","1407","Verify Ollama UI Page Title","tests","Sun Sep 07 10:57:28 UTC 2025","passed","Sun Sep 07 10:57:30 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","4378","Change User Name","tests","Sun Sep 07 10:57:23 UTC 2025","passed","Sun Sep 07 10:57:28 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","1876","Send Message and Verify Response","tests","Sun Sep 07 10:57:30 UTC 2025","passed","Sun Sep 07 10:57:31 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","2686","Verify Ollama UI Page Title","tests","Sun Sep 07 10:57:30 UTC 2025","passed","Sun Sep 07 10:57:33 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","2841","Change User Name","tests","Sun Sep 07 10:57:15 UTC 2025","passed","Sun Sep 07 10:57:18 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","3372","Send Message and Verify Response","tests","Sun Sep 07 10:57:31 UTC 2025","passed","Sun Sep 07 10:57:34 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","1476","Send Message and Verify Response","tests","Sun Sep 07 10:57:19 UTC 2025","passed","Sun Sep 07 10:57:20 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","956","Verify Ollama UI Page Title","tests","Sun Sep 07 10:57:29 UTC 2025","passed","Sun Sep 07 10:57:30 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","2905","Send Message and Verify Response","tests","Sun Sep 07 10:57:33 UTC 2025","failed","Sun Sep 07 10:57:35 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","4027","Change User Name","tests","Sun Sep 07 10:57:19 UTC 2025","broken","Sun Sep 07 10:57:23 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","9681","Change User Name","tests","Sun Sep 07 10:57:18 UTC 2025","passed","Sun Sep 07 10:57:28 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","3080","Verify Ollama UI Page Title","tests","Sun Sep 07 10:57:28 UTC 2025","passed","Sun Sep 07 10:57:31 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","1359","Send Message and Verify Response","tests","Sun Sep 07 10:57:30 UTC 2025","passed","Sun Sep 07 10:57:31 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","1136","Verify Ollama UI Page Title","tests","Sun Sep 07 10:57:18 UTC 2025","passed","Sun Sep 07 10:57:19 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","3509","Send Message and Verify Response","tests","Sun Sep 07 10:57:26 UTC 2025","passed","Sun Sep 07 10:57:29 UTC 2025","ExampleTestCase","test_example","",""
