"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test changes the user name and verifies the update is reflected.","3907","Change User Name","tests","Thu Sep 11 06:06:12 UTC 2025","passed","Thu Sep 11 06:06:16 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","1456","Send Message and Verify Response","tests","Thu Sep 11 06:06:20 UTC 2025","passed","Thu Sep 11 06:06:22 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","1382","Send Message and Verify Response","tests","Thu Sep 11 06:06:09 UTC 2025","passed","Thu Sep 11 06:06:11 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","4283","Change User Name","tests","Thu Sep 11 06:06:09 UTC 2025","broken","Thu Sep 11 06:06:13 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","12883","Change User Name","tests","Thu Sep 11 06:06:06 UTC 2025","passed","Thu Sep 11 06:06:19 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","3569","Send Message and Verify Response","tests","Thu Sep 11 06:06:23 UTC 2025","passed","Thu Sep 11 06:06:27 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","3503","Send Message and Verify Response","tests","Thu Sep 11 06:06:16 UTC 2025","broken","Thu Sep 11 06:06:19 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","1024","Verify Ollama UI Page Title","tests","Thu Sep 11 06:06:08 UTC 2025","passed","Thu Sep 11 06:06:09 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","3511","Send Message and Verify Response","tests","Thu Sep 11 06:06:19 UTC 2025","passed","Thu Sep 11 06:06:23 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","1158","Verify Ollama UI Page Title","tests","Thu Sep 11 06:06:17 UTC 2025","passed","Thu Sep 11 06:06:19 UTC 2025","ExampleTestCase","test_example","",""
"This test sends a message to the chat and validates that a response is displayed.","1474","Send Message and Verify Response","tests","Thu Sep 11 06:06:19 UTC 2025","passed","Thu Sep 11 06:06:20 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","4234","Change User Name","tests","Thu Sep 11 06:06:16 UTC 2025","passed","Thu Sep 11 06:06:20 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","3102","Verify Ollama UI Page Title","tests","Thu Sep 11 06:06:20 UTC 2025","passed","Thu Sep 11 06:06:23 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","3423","Change User Name","tests","Thu Sep 11 06:06:05 UTC 2025","passed","Thu Sep 11 06:06:08 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","3086","Verify Ollama UI Page Title","tests","Thu Sep 11 06:06:13 UTC 2025","passed","Thu Sep 11 06:06:16 UTC 2025","ExampleTestCase","test_example","",""
"This test changes the user name and verifies the update is reflected.","8307","Change User Name","tests","Thu Sep 11 06:06:09 UTC 2025","passed","Thu Sep 11 06:06:17 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","1120","Verify Ollama UI Page Title","tests","Thu Sep 11 06:06:19 UTC 2025","passed","Thu Sep 11 06:06:20 UTC 2025","ExampleTestCase","test_example","",""
"This test verifies that the Ollama UI homepage title contains 'Ollama UI'.","3246","Verify Ollama UI Page Title","tests","Thu Sep 11 06:06:16 UTC 2025","passed","Thu Sep 11 06:06:19 UTC 2025","ExampleTestCase","test_example","",""
